0 verbose cli /usr/local/Cellar/node/26.0.0/bin/node /usr/local/bin/npm
1 info using npm@11.12.1
2 info using node@v26.0.0
3 silly config load:file:/usr/local/lib/node_modules/npm/npmrc
4 silly config load:file:/Users/ernela/Projects/neomovies-api/docs/.npmrc
5 silly config load:file:/Users/ernela/.npmrc
6 silly config load:file:/usr/local/etc/npmrc
7 verbose title npm install
8 verbose argv "install" "--prefer-offline" "--no-audit" "--cache" "/Users/ernela/Projects/neomovies-api/.cache/docs/npm"
9 verbose logfile logs-max:10 dir:/Users/ernela/Projects/neomovies-api/.cache/docs/npm/_logs/2026-05-14T13_12_18_836Z-
10 verbose logfile /Users/ernela/Projects/neomovies-api/.cache/docs/npm/_logs/2026-05-14T13_12_18_836Z-debug-0.log
11 silly logfile done cleaning log files
12 silly packumentCache heap:4395630592 maxSize:1098907648 maxEntrySize:549453824
13 http fetch GET https://registry.npmjs.org/npm attempt 1 failed with ENOTFOUND
14 silly idealTree buildDeps
15 silly reify moves {}
16 http cache yocto-queue@https://registry.npmjs.org/yocto-queue/-/yocto-queue-1.2.2.tgz 0ms (cache hit)
17 http cache zwitch@https://registry.npmjs.org/zwitch/-/zwitch-2.0.4.tgz 0ms (cache hit)
18 http cache zod@https://registry.npmjs.org/zod/-/zod-4.3.6.tgz 0ms (cache hit)
19 http cache xml-js@https://registry.npmjs.org/xml-js/-/xml-js-1.6.11.tgz 0ms (cache hit)
20 http cache xdg-basedir@https://registry.npmjs.org/xdg-basedir/-/xdg-basedir-5.1.0.tgz 0ms (cache hit)
21 http cache wsl-utils@https://registry.npmjs.org/wsl-utils/-/wsl-utils-0.1.0.tgz 0ms (cache hit)
22 http cache ws@https://registry.npmjs.org/ws/-/ws-7.5.10.tgz 0ms (cache hit)
23 http cache write-file-atomic@https://registry.npmjs.org/write-file-atomic/-/write-file-atomic-3.0.3.tgz 0ms (cache hit)
24 http cache yallist@https://registry.npmjs.org/yallist/-/yallist-3.1.1.tgz 0ms (cache hit)
25 http cache wrap-ansi@https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-8.1.0.tgz 0ms (cache hit)
26 http cache which@https://registry.npmjs.org/which/-/which-2.0.2.tgz 0ms (cache hit)
27 http cache wildcard@https://registry.npmjs.org/wildcard/-/wildcard-2.0.1.tgz 0ms (cache hit)
28 http cache widest-line@https://registry.npmjs.org/widest-line/-/widest-line-4.0.1.tgz 0ms (cache hit)
29 http cache whatwg-mimetype@https://registry.npmjs.org/whatwg-mimetype/-/whatwg-mimetype-4.0.0.tgz 0ms (cache hit)
30 http cache whatwg-encoding@https://registry.npmjs.org/whatwg-encoding/-/whatwg-encoding-3.1.1.tgz 0ms (cache hit)
31 http cache websocket-extensions@https://registry.npmjs.org/websocket-extensions/-/websocket-extensions-0.1.4.tgz 0ms (cache hit)
32 http cache webpackbar@https://registry.npmjs.org/webpackbar/-/webpackbar-6.0.1.tgz 0ms (cache hit)
33 http cache webpack-sources@https://registry.npmjs.org/webpack-sources/-/webpack-sources-3.3.4.tgz 0ms (cache hit)
34 http cache websocket-driver@https://registry.npmjs.org/websocket-driver/-/websocket-driver-0.7.4.tgz 0ms (cache hit)
35 http cache webpack-merge@https://registry.npmjs.org/webpack-merge/-/webpack-merge-6.0.1.tgz 0ms (cache hit)
36 http cache webpack-dev-middleware@https://registry.npmjs.org/webpack-dev-middleware/-/webpack-dev-middleware-7.4.5.tgz 0ms (cache hit)
37 http cache webpack-bundle-analyzer@https://registry.npmjs.org/webpack-bundle-analyzer/-/webpack-bundle-analyzer-4.10.2.tgz 0ms (cache hit)
38 http cache webpack@https://registry.npmjs.org/webpack/-/webpack-5.105.4.tgz 0ms (cache hit)
39 http cache webpack-dev-server@https://registry.npmjs.org/webpack-dev-server/-/webpack-dev-server-5.2.3.tgz 0ms (cache hit)
40 http cache web-namespaces@https://registry.npmjs.org/web-namespaces/-/web-namespaces-2.0.1.tgz 0ms (cache hit)
41 http cache wbuf@https://registry.npmjs.org/wbuf/-/wbuf-1.7.3.tgz 0ms (cache hit)
42 http cache watchpack@https://registry.npmjs.org/watchpack/-/watchpack-2.5.1.tgz 0ms (cache hit)
43 http cache vfile-message@https://registry.npmjs.org/vfile-message/-/vfile-message-4.0.3.tgz 0ms (cache hit)
44 http cache vary@https://registry.npmjs.org/vary/-/vary-1.1.2.tgz 0ms (cache hit)
45 http cache vfile-location@https://registry.npmjs.org/vfile-location/-/vfile-location-5.0.3.tgz 0ms (cache hit)
46 http cache vfile@https://registry.npmjs.org/vfile/-/vfile-6.0.3.tgz 1ms (cache hit)
47 http cache value-equal@https://registry.npmjs.org/value-equal/-/value-equal-1.0.1.tgz 0ms (cache hit)
48 http cache uuid@https://registry.npmjs.org/uuid/-/uuid-8.3.2.tgz 0ms (cache hit)
49 http cache utils-merge@https://registry.npmjs.org/utils-merge/-/utils-merge-1.0.1.tgz 0ms (cache hit)
50 http cache utila@https://registry.npmjs.org/utila/-/utila-0.4.0.tgz 0ms (cache hit)
51 http cache util-deprecate@https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz 0ms (cache hit)
52 http cache utility-types@https://registry.npmjs.org/utility-types/-/utility-types-3.11.0.tgz 0ms (cache hit)
53 http cache uri-js@https://registry.npmjs.org/uri-js/-/uri-js-4.4.1.tgz 0ms (cache hit)
54 http cache update-notifier@https://registry.npmjs.org/update-notifier/-/update-notifier-6.0.2.tgz 0ms (cache hit)
55 http cache url-loader@https://registry.npmjs.org/url-loader/-/url-loader-4.1.1.tgz 0ms (cache hit)
56 http cache update-browserslist-db@https://registry.npmjs.org/update-browserslist-db/-/update-browserslist-db-1.2.3.tgz 0ms (cache hit)
57 http cache unpipe@https://registry.npmjs.org/unpipe/-/unpipe-1.0.0.tgz 0ms (cache hit)
58 http cache universalify@https://registry.npmjs.org/universalify/-/universalify-2.0.1.tgz 0ms (cache hit)
59 http cache unist-util-visit-parents@https://registry.npmjs.org/unist-util-visit-parents/-/unist-util-visit-parents-6.0.2.tgz 0ms (cache hit)
60 http cache unist-util-stringify-position@https://registry.npmjs.org/unist-util-stringify-position/-/unist-util-stringify-position-4.0.0.tgz 0ms (cache hit)
61 http cache unist-util-position-from-estree@https://registry.npmjs.org/unist-util-position-from-estree/-/unist-util-position-from-estree-2.0.0.tgz 0ms (cache hit)
62 http cache unist-util-visit@https://registry.npmjs.org/unist-util-visit/-/unist-util-visit-5.1.0.tgz 0ms (cache hit)
63 http cache unist-util-is@https://registry.npmjs.org/unist-util-is/-/unist-util-is-6.0.1.tgz 0ms (cache hit)
64 http cache unist-util-position@https://registry.npmjs.org/unist-util-position/-/unist-util-position-5.0.0.tgz 0ms (cache hit)
65 http cache unique-string@https://registry.npmjs.org/unique-string/-/unique-string-3.0.0.tgz 0ms (cache hit)
66 http cache unified@https://registry.npmjs.org/unified/-/unified-11.0.5.tgz 0ms (cache hit)
67 http cache unicode-match-property-value-ecmascript@https://registry.npmjs.org/unicode-match-property-value-ecmascript/-/unicode-match-property-value-ecmascript-2.2.1.tgz 0ms (cache hit)
68 http cache unicode-property-aliases-ecmascript@https://registry.npmjs.org/unicode-property-aliases-ecmascript/-/unicode-property-aliases-ecmascript-2.2.0.tgz 0ms (cache hit)
69 http cache unicode-canonical-property-names-ecmascript@https://registry.npmjs.org/unicode-canonical-property-names-ecmascript/-/unicode-canonical-property-names-ecmascript-2.0.1.tgz 0ms (cache hit)
70 http cache unicode-match-property-ecmascript@https://registry.npmjs.org/unicode-match-property-ecmascript/-/unicode-match-property-ecmascript-2.0.0.tgz 0ms (cache hit)
71 http cache unicode-emoji-modifier-base@https://registry.npmjs.org/unicode-emoji-modifier-base/-/unicode-emoji-modifier-base-1.0.0.tgz 0ms (cache hit)
72 http cache undici@https://registry.npmjs.org/undici/-/undici-7.24.7.tgz 0ms (cache hit)
73 http cache undici-types@https://registry.npmjs.org/undici-types/-/undici-types-7.18.2.tgz 0ms (cache hit)
74 http cache typedarray-to-buffer@https://registry.npmjs.org/typedarray-to-buffer/-/typedarray-to-buffer-3.1.5.tgz 0ms (cache hit)
75 http cache type-fest@https://registry.npmjs.org/type-fest/-/type-fest-5.5.0.tgz 0ms (cache hit)
76 http cache tslib@https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz 0ms (cache hit)
77 http cache type-is@https://registry.npmjs.org/type-is/-/type-is-1.6.18.tgz 0ms (cache hit)
78 http cache trough@https://registry.npmjs.org/trough/-/trough-2.2.0.tgz 0ms (cache hit)
79 http cache trim-lines@https://registry.npmjs.org/trim-lines/-/trim-lines-3.0.1.tgz 0ms (cache hit)
80 http cache tree-dump@https://registry.npmjs.org/tree-dump/-/tree-dump-1.1.0.tgz 0ms (cache hit)
81 http cache tsyringe@https://registry.npmjs.org/tsyringe/-/tsyringe-4.10.0.tgz 0ms (cache hit)
82 http cache to-regex-range@https://registry.npmjs.org/to-regex-range/-/to-regex-range-5.0.1.tgz 0ms (cache hit)
83 http cache totalist@https://registry.npmjs.org/totalist/-/totalist-3.0.1.tgz 0ms (cache hit)
